Title: Is Doctor Culture Uncaring?  Dr. Robert Pearl's Book from Moral Injury to Fee-for-Service and More
[0:05 - 0:14]  is Dr. Robert Pearl and his book, Uncaring, he examines, is doctor culture uncaring?
[0:14 - 0:19]  Now this has tremendous healthcare finance implications, which is why we are going to
[0:19 - 0:24]  discuss his book today. And also Dr. Pearl is one of the physicians that if we work in
[0:24 - 0:29]  healthcare, we need to know who he is. And let me tell you why. He was the CEO of the
[0:29 - 0:36]  Permanente Medical Group, which is the physician group for Kaiser Permanente, or KP as they call
[0:36 - 0:43]  it. And he was not only the CEO, he was the CEO there for 18 years, from 1999 to 2017.
[0:43 - 0:49]  So he's only somewhat recently retired. And the Permanente Medical Group is the largest,
[0:49 - 0:56]  it is the number one largest physician medical group in America. It has 10,000 doctors. It
[0:56 - 1:07]  has 38,000 allied health professionals, medical techs, clerks, etc, etc. Okay. It has 5 million
[1:07 - 1:13]  members, mostly in California, but also in places like Washington State, and in Colorado, and
[1:13 - 1:19]  in Georgia, and in the Washington DC area. So it spans the country, it's huge, and he was
[1:19 - 1:29]  there for a long time. So guess what? Dr. Pearl, who himself is a plastic surgeon, so he's practicing
[1:29 - 1:34]  physician, he saw patients for a long time. Something tells me he probably knows a lot
[1:34 - 1:42]  about doctors and doctor culture if he led a group of 10,000 doctors for 18 years. So let's
[1:42 - 1:47]  hear what he has to say. Now, I'm immediately going to couch this in another book, which is
[1:47 - 1:51]  going to probably make things a little confusing. And that is the book by Peter Drucker. I think
[1:51 - 1:54]  it's appropriate, right? Everybody knows who Peter Drucker is. He's sort of the management guru
[1:54 - 2:00]  from back in the 1950s, middle of the 20th century. So Peter Drucker, probably one of his most famous
[2:00 - 2:06]  books, fantastic book, is The Effective Executive, where he talks about what makes executives effective,
[2:06 - 2:10]  and what makes them ineffective, and how to become more effective. Okay. And one of the points Dr.
[2:10 - 2:15]  Drucker makes in this book is that at the end of the day, executives tend to be very high-functioning
[2:15 - 2:23]  people. People tend to be very capable, okay? But that at the same time means that they also tend to
[2:23 - 2:31]  have a lot of big problems. So he said, look, your typical person, they have peaks, in other words,
[2:31 - 2:35]  they have aptitudes, things that they're good at, and they have valleys, and they have things that they
[2:35 - 2:41]  are not good at, and they have blind spots, and they have problems, right? And he says in executives,
[2:41 - 2:47]  that exact same phenomenon exists, but it's much more accentuated. In other words, executives have
[2:47 - 2:54]  really high peaks. In other words, they have huge degrees of skill and competence in various areas,
[2:54 - 3:02]  but they have even larger valleys to go along with those bigger peaks. So for physicians, arguably they're
[3:02 - 3:07]  highly capable people in general. So one might say, okay, well, what are the peaks of a physician? They tend to
[3:07 - 3:12]  work incredibly hard. They tend to be very intelligent. They have tremendous dedication
[3:12 - 3:18]  to their job and to their patients. They undergo tremendous sacrifice. Talk about all the things
[3:18 - 3:26]  that have gone on with COVID-19 and coronavirus, and how much physicians have sacrificed for the sake of
[3:26 - 3:32]  the health treating people with COVID. That's just one of a gazillion examples, right? Sleepless lights,
[3:32 - 3:38]  long hours, many times away from their families, lots of worrying about their patients, okay? But
[3:39 - 3:47]  physicians have deep valleys. And really the point of this book is about the valleys of physician
[3:47 - 3:55]  culture, right? So my sort of paraphrasing of what this book is about is, hey, physicians have some
[3:55 - 4:02]  valleys, and those valleys cause problems. And so if we're going to do things like improve health care,
[4:02 - 4:07]  then physicians need to look at themselves, right? So the classic expression, right? If you point your
[4:07 - 4:12]  finger at somebody else, you've got three fingers pointing back at yourself. So physicians are going
[4:12 - 4:18]  to point their fingers at other entities, whether it be the government or insurance companies or hospital
[4:18 - 4:23]  administrators, you name it, then physicians need to realize that they have three fingers pointing back
[4:23 - 4:29]  at themselves in terms of problems or valleys that they have. And Dr. Pearl does something very brave where he
[4:29 - 4:36]  confronts these valleys head on in a way that a retired CEO really can. I mean, to a certain extent,
[4:36 - 4:40]  he's like set, right? Like he doesn't probably ever need to work another day in his life.
[4:41 - 4:47]  So frankly, he can say a lot of things that in his mind are true and highly unpopular with his
[4:47 - 4:53]  physician colleagues. And if you look at the Amazon reviews for uncaring on Amazon,
[4:53 - 4:58]  you will see a lot of physicians who write some pretty scathing things. But I think that's to be
[4:58 - 5:03]  expected. That's not to say that this book is bad. But if you're going to write something about the
[5:03 - 5:08]  shortcomings of physicians, you better believe that physicians are going to have an issue with that
[5:08 - 5:15]  and see that negatively. Okay. But let's talk about these valleys. Okay. Of course, what do we talk
[5:15 - 5:21]  about here on A Healthcare Z all the time? Dr. Pearl talks about over and over and over again in this
[5:21 - 5:27]  book is how fee-for-service corrupts physician practice. Fee-for-service corrupts physician practice.
[5:27 - 5:36]  Now, he refers to the alternative as prepayment. And when you want to call that capitation or value-based
[5:36 - 5:45]  care, it is essentially the same idea that is proposed and supported by other physicians whose books
[5:45 - 5:52]  I have also recently highlighted on A Healthcare Z, like Dr. Vivian Lee, like Dr. Marty McCary,
[5:52 - 5:59]  like Dr. Atul Gawande, like the economist Dr. Uwe Reinhardt, who was from Princeton, passed away. But
[5:59 - 6:05]  look, I mean, Dr. Lee is like the head doc over at Google. Dr. Marty McCary is a surgeon at Johns Hopkins.
[6:05 - 6:12]  Dr. Atul Gawande is a surgeon at Brigham and Women's at Harvard. Okay. And these are our
[6:12 - 6:16]  great famous physicians and they and Dr. Pearl are all saying the same thing in terms of how
[6:17 - 6:23]  fee-for-service is not the way to go for physicians. Now, obviously there are gobs and gobs of physicians
[6:23 - 6:30]  that disagree with this and say that fee-for-service does not corrupt their ability to practice medicine.
[6:30 - 6:38]  But I'm just saying that here we have another example of another physician who led 10,000 doctors for 18
[6:38 - 6:45]  years who says that fee-for-service is not the right way to go. Now, he also talks about a couple other
[6:45 - 6:50]  valleys. Those other valleys are one, pride. He says, look, in not so many words, he says, look,
[6:50 - 6:57]  physicians have a lot of pride. Now, one example that's rather interesting is that he is very detailed
[6:57 - 7:04]  and articulate and he has highly studied the issue of moral injury, which is where physicians claim that
[7:04 - 7:09]  today's healthcare system and the government and health insurance companies and hospital
[7:09 - 7:17]  administrators are inflicting moral injury on physicians. In other words, physicians are being
[7:18 - 7:26]  forced to make decisions and do things that are causing them to burn out. And that is being done to
[7:26 - 7:33]  them. In other words, physicians are the victims. And they are the victims of moral injury caused them by
[7:33 - 7:37]  the government health insurance companies, hospital administrators. Okay. Now, he says,
[7:39 - 7:46]  in no way, shape or form, that look, for physicians to claim moral injury and yet ignore the fact
[7:47 - 7:53]  that they themselves over-treat patients and they themselves cause not just moral injury, they cause
[7:53 - 8:02]  physical injury to their patients. So for them to explain moral injury and yet not work to do
[8:02 - 8:09]  something about the over-treatment and literal physical pain and even death that they cause
[8:09 - 8:16]  patients is really pride. It's really physicians not looking at, it's only looking at the physician
[8:16 - 8:21]  peaks and all the wonderful things they do and not looking at the valleys. Okay. Fine. Listen,
[8:21 - 8:27]  at the end of the day, guess what? Physicians are human and pride is a common shortcoming of humans.
[8:27 - 8:36]  Okay. Next up, greed. Okay. He says that, look, physicians take money and gifts. Now, when they take
[8:36 - 8:40]  money, they take it in the form of like speaker fees and honorary. I mean, it's all called all sorts of
[8:40 - 8:47]  stuff. It's not literally a bribery payment. Okay. But they get these fancy dinners and yet they, they get
[8:47 - 8:53]  it from pharmaceutical companies, they get it from medical device companies, and yet they don't expressly state
[8:53 - 8:57]  their conflicts of interest with their patients all the time. I'm sure there are some physicians
[8:57 - 9:02]  that do. And not only do they not state this conflict of interest, a lot of physicians even deny
[9:03 - 9:09]  that these gifts or dinners or honoraria from pharmaceutical companies, they even deny that it
[9:09 - 9:15]  impacts their clinical care where there is evidence of Dr. Poirot's opinion to the contrary. So, and again,
[9:15 - 9:20]  he actually cites some of the same studies I've cited in previous A Healthcare Z videos. So again,
[9:20 - 9:27]  greed, guess what that is? That's a human shortcoming and doctors are human. So if anything,
[9:27 - 9:33]  what I got when I was about physician culture and all the valleys from what Dr. Poirot talked about,
[9:33 - 9:41]  it's that, hey, look, doctors are human. Okay. Arguably, you know, to a certain extent,
[9:41 - 9:44]  doctors themselves don't think they're human. And to a certain extent, like patients in the public
[9:44 - 9:47]  don't think they're human. But I think at the end of the day, it's much more realistic to say like,
[9:47 - 9:53]  look, doctors are human. And they have some really positive qualities, but they got some really
[9:53 - 9:59]  negative qualities too, just like humans have. So I think that that's, that's a very rational way
[9:59 - 10:04]  to set the expectations for whether it be colleagues of physicians, physicians working with other
[10:04 - 10:09]  physicians, or patients working with their physicians, is to say, look, they're human. We
[10:09 - 10:15]  shouldn't expect them to be superhuman because they're not. And he actually ends the book,
[10:15 - 10:20]  I think in a very constructive way, where he says, look, physician culture is not going to change
[10:20 - 10:25]  overnight. It's not going to change anytime soon. In fact, it might not even change at all. But there
[10:25 - 10:33]  are nine questions that patients need to ask their doctors to ensure that they get better care and
[10:33 - 10:41]  frankly, minimize or avoid these valleys or problems in physician culture. Things like,
[10:41 - 10:48]  how much is this going to cost? Things that the Choosing Wisely campaign also suggests. Things like,
[10:48 - 10:56]  have you washed your hands? Things like, is this test and procedure really necessary? Things like,
[10:56 - 11:03]  is this safe? Now, I will actually list in the show note, these nine questions. And not all nine
[11:03 - 11:08]  questions are relevant for in every single patient interaction. But I think it's very interesting. And
[11:08 - 11:15]  I think very practical for Dr. Poole to say, Hey, look, silence on the part of patients is of no value.
[11:15 - 11:19]  Frankly, silence is dangerous. And I think that that's something that we've talked about previously on
[11:19 - 11:25]  A Healthcare Z, and really something that all of us, whether we work in health insurance or employee
[11:25 - 11:33]  benefits or HR or hospital finance or physicians, is that look, one of the great tools that we can
[11:33 - 11:42]  give our patients to ensure better quality care is to have them speak up and ask questions. And that's
[11:42 - 11:45]  my point for today. Thank you for watching A Healthcare Z.
