Title: Hospital Employee Roles:  Nurses, Med Techs, Clerks and More
[1:23 - 1:28]  floor or unit for that shift is referred to as the charge nurse. Now the charge nurse tends to be one
[1:28 - 1:33]  of the more experienced nurses and you know, he or she, let's be honest, they oftentimes really know
[1:33 - 1:39]  what they're doing. And so what's great about that is that they're a perfect place for escalation.
[1:39 - 1:43]  So if something is not happening, right, you're not getting what you need, you have questions,
[1:43 - 1:48]  you're confused, there's poor coordination. And let's be honest, in the hospital, that happens all the
[1:48 - 1:53]  time. Then really the first place that that needs to be escalated to is to the charge nurse.
[1:53 - 1:57]  You know, in my opinion, not really the doctor because the doctor, they're like hard to reach.
[1:57 - 2:02]  The charge nurse is there on the floor. Okay. And oftentimes if they need to get the doctor or
[2:02 - 2:06]  whoever they need to coordinate with, they do a great job of like making that happen. So if you
[2:06 - 2:11]  don't feel like you're getting what you want when you need it, then the charge nurse is actually the
[2:11 - 2:17]  first place of escalation. Next up is the shift coordinator. So all of those charge nurses for each
[2:17 - 2:21]  one of the units of the floors, they report up to the shift coordinator. And just like it sounds,
[2:21 - 2:26]  that person is a nurse as well. And that person is in charge of that shift. So typically nurses will
[2:26 - 2:32]  either work an eight hour shift or a 12 hour shift. And you can think of that shift coordinator almost
[2:32 - 2:37]  like running the hospital for that shift, right? So they coordinate the patients coming in from the
[2:37 - 2:42]  ED. If a patient decompensates and needs to go from the floor to the ICU or someone is discharged from
[2:42 - 2:48]  the ICU back to the floor, it's the shift coordinator that is doing all that. Now, typically,
[2:48 - 2:53]  those shift coordinators are very senior nurses and they might really, really know what they're doing.
[2:53 - 2:58]  And so at the end of the day, oftentimes the charge nurse has to coordinate with the shift
[2:58 - 3:03]  coordinator in terms of what's going on with you particularly. So just know now you may or may not
[3:03 - 3:09]  need to talk to the shift coordinator yourself, but just know that there's another level of seniority
[3:09 - 3:15]  above the charge nurse on your floor as well. Okay. Next up, our texts, right? Again,
[3:15 - 3:19]  we said that you have a gazillion people coming into your room when you're in a hospital. And a
[3:19 - 3:24]  lot of the people that are coming in are the texts. Now, oftentimes they are wearing scrubs,
[3:24 - 3:27]  just like the nurses are. It's hard to differentiate. And a lot of times people think that the texts are
[3:27 - 3:32]  the nurses, but they are not. And the texts primarily take your vitals. So they'll take your
[3:32 - 3:36]  temperature, your blood pressure, your heart rate. Some they'll watch you and they'll take your
[3:36 - 3:40]  respiratory rate. If you have leads on you and they fall off, oftentimes they'll fix that. Now,
[3:40 - 3:44]  sometimes the nurses will do that too. So it's confusing, right? Because sometimes a nurse comes in and
[3:44 - 3:48]  does that. And a lot of times the tech comes in and does that, but just know that probably the
[3:48 - 3:52]  majority of time, it's actually the tech that's doing that. And also the tech is doing the finger
[3:52 - 3:57]  sticks for the blood glucose. And they're also checking your weight as well. So just know that
[3:57 - 4:04]  there oftentimes are one or even multiple, a lot of texts on a floor that are almost acting like force
[4:04 - 4:08]  multipliers for the nurses. And they're an incredibly important part of the healthcare team,
[4:08 - 4:14]  but just know that they are not your nurse. Okay. Next up is the clerk. And the clerk is different from
[4:14 - 4:18]  the techs and that the clerk is sitting at the nurse's station and they're sort of like the
[4:18 - 4:24]  administrative person. And what's important there is that it's the clerk who is most often answering
[4:24 - 4:29]  the call button when you or a family member are calling from the room. Okay. So it's not a nurse,
[4:29 - 4:34]  it's not a tech, but it's the clerk. And so the clerk has to escalate it to either a tech,
[4:34 - 4:38]  because oftentimes when you need something, like they don't escalate it to a nurse, they escalate it to,
[4:38 - 4:44]  like my IVs beeping. They might send in somebody other than the nurse to check that, etc. Or,
[4:44 - 4:48]  you know, I need to take, I need to have my tray taken away because I'm done with my lunch. Okay.
[4:48 - 4:53]  Well, they might have a tech come in and do that. Okay. So it's important to note that the clerk is
[4:53 - 4:58]  who you're talking to when you're, when you're talking in the room after you've pushed your call
[4:58 - 5:06]  button. It's not a nurse. Okay. And so all of these folks work together as a team. And as you can imagine,
[5:06 - 5:12]  it's variable and some, and some teams work together great and others not so much. Okay.
[5:12 - 5:16]  But it's important to know who these people are because anybody who has been in a hospital knows
[5:16 - 5:22]  that one of the things that happens is constant interruption. People are constantly coming into
[5:22 - 5:27]  your room and you need to know who these people are. And that's my point for today. Thank you for
[5:27 - 5:32]  watching AH Healthcare Z.
