Title: What's So Special About Specialty Pharmacy.  Specialty Pharmacy Explained.
[0:05 - 0:13]  is what's so special about specialty pharmacy. So we're going to explain specialty pharmacy
[0:13 - 0:20]  today. What in the world is a specialty medication? It is a medication that requires quote unquote
[0:20 - 0:28]  high touch distribution, administration, distribution meaning like how it gets from the pharmaceutical
[0:28 - 0:34]  manufacturer out to the actual pharmacy itself. Administration, in other words, the patient,
[0:34 - 0:39]  typically it's like a shot, the patient giving it to themselves. And then finally management. So this
[0:39 - 0:45]  is where there's like HIV medications that are pills where they're not necessarily complicated
[0:45 - 0:52]  to distribute or administer because they're pills, but the management of HIV medications is complicated.
[0:53 - 0:58]  And you've got to do like genetic testing on the virus itself to figure out which drugs work on the
[0:58 - 1:03]  virus in individual people. So it's complicated. Okay. There is not a sort of quote unquote
[1:03 - 1:10]  official definition. Like there's no like grand high arbiter that says, Hey, this is what a specialty
[1:10 - 1:15]  medication is. So this is just like the general definition. Okay. But there's nothing quote unquote
[1:15 - 1:21]  official about it. Okay. What's the history of specialty pharmacy? Okay. Get ready for the most boring
[1:21 - 1:27]  topic humanly possible. The history of specialty pharmacy in America. Okay. It started in the 1970s,
[1:27 - 1:32]  just when you started having these medications for like these orphan diseases, like hemophilia,
[1:32 - 1:39]  right? So very few people have hemophilia. It's a bleeding disorder and very few people have it.
[1:39 - 1:45]  Okay. So, but, but these medications were like super complicated to treat these very few diseases.
[1:45 - 1:54]  Okay. Even in the 1990s, there was only 30 different medications that quote unquote were specialty pharmacy.
[1:54 - 2:00]  So it was rather small. All right. So what, why in the world did these pharmacies sort of pop up?
[2:00 - 2:05]  Well, the way that these quote unquote specialty medications used to be dealt with, they were hugely
[2:05 - 2:11]  expensive. The patient had to pay out of pocket for it. And then they had to fill out a whole bunch of
[2:11 - 2:19]  paperwork to then be reimbursed by the insurance company or by Medicare. And so the specialty pharmacies
[2:19 - 2:25]  were like, okay, well, as one of our sort of quote unquote value add services, we'll like help you fill
[2:25 - 2:31]  out your paperwork so that you can get paid back by the insurance company. Also, because these medications
[2:31 - 2:35]  were for very rare diseases, if you went to like your typical, like random pharmacy, like they wouldn't
[2:35 - 2:39]  have it in stock. Do you have any hemophilia medication that costs a hundred thousand dollars?
[2:39 - 2:44]  And they'd be like, nope. Okay. So they would have it in stock. And then finally, a lot of these
[2:44 - 2:49]  medications, they had to have home delivery because maybe they needed to be refrigerated or it was sort
[2:49 - 2:56]  of a very particular situation. Like they had to be like on ice or dry ice or what have you. Right.
[2:56 - 3:01]  So the delivery was very unique. So there are these, these pharmacies popped up to facilitate this
[3:01 - 3:07]  sort of quote unquote special nature of these medications. Again, a lot of them were injections.
[3:07 - 3:16]  Okay. Now there actually is accreditation for specialty pharmacies. And in fact, only 3% of all pharmacies
[3:16 - 3:23]  are actually accredited as specialty pharmacies. And there's two accrediting bodies. There's the
[3:23 - 3:29]  Accreditation Commission for Healthcare. They accredit a whole bunch of other stuff as well. It's a private
[3:29 - 3:33]  organization. And then there's URAC. I'm sure many of you are familiar with URAC because it is the
[3:33 - 3:39]  Utilization Review Accreditation Commission. So both of these organizations accredit a whole bunch
[3:39 - 3:43]  of different things in healthcare. And oh, by the way, they just happen to accredit
[3:43 - 3:50]  specialty pharmacies as well. Okay. Now let's look at the specific specialty pharmacies in America.
[3:50 - 3:57]  Obviously there's the three big ones that you're familiar with. CVS Specialty Pharmacy is part of
[3:57 - 4:04]  the CVS PBM. So believe it or not, the largest specialty pharmacy in America by far is part of
[4:04 - 4:12]  the largest PBM in America by far. And they make about 73 billion a year in revenue just as part of
[4:12 - 4:19]  CVS Specialty Pharmacy, the dispensing of specialty medications. The next largest is Accredo. What in the
[4:19 - 4:24]  world is Accredo? Nobody on the planet has ever heard of Accredo before. What's that? It's the specialty
[4:24 - 4:30]  pharmacy for Express Scripts, which is now called Evernorth, which is part of Cigna, right? All these
[4:30 - 4:35]  names are super confusing. They keep changing. Anyway, Accredo is the Express Scripts Specialty
[4:35 - 4:42]  Pharmacy. It is the second largest. They make 60 billion a year in specialty pharmacy revenue. Again,
[4:42 - 4:50]  dispensing specialty medications like Humira. Okay. The next one is Optum Specialty, which of course is
[4:50 - 4:59]  part of OptumRx, the third largest PBM in America. Okay. They have 32 billion in revenue just as part of
[4:59 - 5:05]  the Optum Specialty Pharmacy. Okay. Those are the top three. And then look what happens when you get to
[5:05 - 5:11]  number four. Guess what? Walgreens, large pharmacy chain in America, they've got a specialty pharmacy
[5:11 - 5:17]  as well. Look at their revenue. Only 8 billion. And then there's other major corporations in America,
[5:17 - 5:24]  major pharmacies in America that also have specialty pharmacies. Walmart and Kroger, the grocery store
[5:24 - 5:31]  chain, also have pharmacies and they have specialty pharmacies. Guess what? Walmart and Kroger specialty
[5:31 - 5:40]  pharmacies, they only make about 3 billion a year each in revenue. What? How in the world? Like 73 billion
[5:40 - 5:49]  versus 3 billion? 73 billion is 24 times more. The CVS specialty pharmacy is 24 times larger than the
[5:49 - 5:55]  Walmart specialty pharmacy? Why is that? How could Walmart ever let this happen? Walmart must be
[5:55 - 6:05]  totally incompetent. No, of course not. That's not the reason. The reason why the PBMs own the specialty
[6:05 - 6:16]  pharmacies that by far are the largest specialty pharmacies is because the PBM requires the use of their own
[6:16 - 6:24]  specialty pharmacy to fill a specialty medication. That's right. If it's like an HIV medication or it's a
[6:24 - 6:32]  medication for rheumatoid arthritis or Crohn's disease, etc. Then if you have a health insurance plan
[6:32 - 6:40]  through your job that happens to use CVS Caremark as the PBM and you need to take a specialty medication, the only
[6:40 - 6:48]  way that your insurance will pay for your specialty medication is if it is filled by the CVS specialty itself.
[6:48 - 6:56]  Same thing is true for Accredo and Express Script. Same thing is true for Optum specialty. Hmm. That sounds like a lack of
[6:56 - 7:07]  choice. So anytime we have a lack of choice, then we know that things are going to get expensive and the service is not going to be very good.
[7:07 - 7:14]  Because without competition, what in the world incentivizes them to provide good prices and good service?
[7:14 - 7:24]  Okay. So believe it or not, this has made it to the courts. So the legal status of this whole relationship between the PBMs and the
[7:24 - 7:31]  specialty pharmacies that they operate, believe it or not, it was first challenged back in 2020, went all the way up to the Supreme Court.
[7:31 - 7:43]  And the Supreme Court said, look, the states can actually regulate PBMs themselves if they want. Okay. So Oklahoma and other states, but Oklahoma was the most aggressive about it.
[7:43 - 7:57]  Oklahoma passed a law that says PBMs can no longer require employers and their employees to have to fill their specialty prescriptions at a specialty pharmacy that the PBM owns.
[7:57 - 8:01]  They can go to a different specialty pharmacy. They could go to the Walmart or the Kroger specialty pharmacy.
[8:01 - 8:18]  Okay. Guess what happened? The Pharmaceutical Care Management Association, the PCMA sued the state of Oklahoma. What is the PCMA? It's the trade association for PBMs.
[8:18 - 8:43]  PBMs. Okay. So that's like a euphemism. Okay. Like there's three. Okay. So the PCMA is a trade association. It's a lobbying group for CVS, Express Scripts, slash Cigna and Optum, slash United. So keep it. So it's not, there's no association. It's just a lobbying organization for three companies.
[8:43 - 9:09]  It's a lobbying organization for CVS, for Cigna and for United. That's all it is. Okay. And guess what? The PCMA, they won their suit against the state of Oklahoma. They said, look, the states cannot regulate PBMs because it's an objection to ERISA. And I won't get into ERISA. That's another video for another day.
[9:09 - 9:34]  But the 10th Circuit effectively blocked the Oklahoma law. And so since then, 32 different states' attorney generals, both Republicans and Democrats, have since petitioned the Supreme Court. The state of Oklahoma has petitioned the Supreme Court and said, Supreme Court, will you please look at what the 10th Circuit did?
[9:34 - 9:56]  And could you override or overrule what the 10th Circuit said so that this Oklahoma law and other state laws can actually go forward? And guess what? Crickets! We haven't heard anything yet. So as of August 2024, we don't know what's going to happen with the Supreme Court.
[9:56 - 10:12]  So as of now, what the 10th Circuit said stands. The Oklahoma law was struck down and Oklahoma cannot regulate PBMs. But who knows? We'll see if the Supreme Court takes this up and what they have to say about it.
[10:12 - 10:20]  So that's what's so special about specialty pharmacy. And that's what I wanted to share with you today. Thank you for watching A Healthcare Z.
