Title: Marketing in Healthcare:  How to Apply the 4 Ps of Marketing to Healthcare
[1:18 - 1:24]  unions, et cetera. Insurance carriers, those are the payers of healthcare, right? So they're really looking
[1:24 - 1:29]  for decreased costs or increased operational efficiency, increased speed, increased flexibility,
[1:30 - 1:35]  decreased risk. Okay. So an example for a top line innovation might be like robotic surgery.
[1:35 - 1:39]  And the reason why hospitals love robotic surgery is because they can charge so much more for it,
[1:39 - 1:43]  improving their revenue. And an example for a bottom line improvement would be the consumer
[1:43 - 1:48]  directed health plan. So this is where in the early 2000s, this is where Luminos and DFINITY were
[1:48 - 1:54]  really the two, um, harbingers of the, of the consumer directed health plan. And they were both
[1:54 - 2:00]  subsequently bought by major insurance carriers, but their 10X proposition was that the consumer
[2:00 - 2:07]  directed health plan is actually, is actually an actuarially superior plan vis-a-vis PPO. Okay.
[2:07 - 2:13]  So it's gotta be 10X. Next up is the price. And the key to the price is that it motivates the channel.
[2:13 - 2:17]  And that channel might even be like your internal sales force, or it might be the channel sales that
[2:17 - 2:22]  you're going through. In other words, it can't be too high and it can't be too low. And especially
[2:22 - 2:29]  when it comes to bottom line improvements, your 10X value proposition might actually be your price.
[2:29 - 2:37]  So that is, it's key to understanding that the price is not what like covers your expenses. Like
[2:37 - 2:42]  the marketplace doesn't care about your expenses. Okay. What is important about the price is that it
[2:42 - 2:47]  motivates the channel. Okay. Next up is the placement. So you can think of that as like merchandising,
[2:47 - 2:51]  like where do people like buy what it is that you're selling? And in the world of payers,
[2:52 - 2:57]  employers, the folks who they traditionally buy stuff from is from their insurance broker,
[2:58 - 3:02]  their benefit consultant, from the insurance carrier, from other folks that help them run
[3:02 - 3:08]  their plan, whether it be their HRIS system or their bed admin platform. And so if you have a very
[3:08 - 3:15]  different 10X value proposition, you cannot have a very different way of selling it. Okay. So you can't
[3:15 - 3:21]  come in through like a totally different department. You can't come in with a 10X benefits proposition
[3:21 - 3:27]  trying to go through like the IT department. It's okay. That's just not how it's going to work. So you
[3:27 - 3:32]  need to, you need to understand where people buy. It's like selling tomatoes next to the road, right? Sure.
[3:32 - 3:36]  You can sell some tomatoes next to the road, but at the end of the day where people buy the vast majority
[3:36 - 3:41]  of their tomatoes is in the grocery store. Okay. So these are like, this is the grocery store. This
[3:41 - 3:46]  is where people go to actually buy what it is that you're selling. Okay. And then finally, that's promotion
[3:46 - 3:51]  is the promotion. And that's what people historically think of when they think of marketing, but notice
[3:51 - 3:56]  that promotion is just one of the four Ps. And in my opinion, it's the bottom of the four Ps, right? And so you
[3:56 - 4:01]  have sort of outbound and inbound promotional marketing. And outbound might be like emails or relationships
[4:01 - 4:07]  that your existing salespeople have with their, with people in the industry. And then inbound might
[4:07 - 4:13]  be blogs or videos where you're sending out content and then you're getting leads into you. Now,
[4:14 - 4:21]  within both outbound and inbound, you have the framework of interrupt, engage, educate, and then
[4:21 - 4:26]  the offer or the call to action. Now that needs to be gotten right as well. Now I won't go into any more
[4:26 - 4:31]  detail for the sake of brevity on this video, but notice I put these in a specific order.
[4:31 - 4:38]  Okay. Because like you have to get all four of these, right? But let's say you get the promotion,
[4:38 - 4:42]  the placement and the price, right? If you do not have a 10 X value proposition, it's not going to
[4:42 - 4:48]  work. Likewise, if you have a 10 X value proposition and people are used to kind of paying a dollar PEPM
[4:48 - 4:54]  for your services and you're charging like $10 PEPM, like it's not going to work, right? Because the price
[4:54 - 5:01]  is like totally wrong. And again, if you try to go direct, maybe that'll work, but maybe you have
[5:01 - 5:05]  to actually go to where people are buying it through the brokers and the benefit consultants,
[5:06 - 5:11]  et cetera. Okay. Now that brings me to my final point, which is segmentation. Okay. The market
[5:11 - 5:18]  is not some homogeneous place. It's very heterogeneous, meaning it has very different
[5:18 - 5:24]  market segments and the four P's change by market segment. So this gets super complicated. You'll
[5:24 - 5:29]  have to essentially create a matrix where you're like, okay, well, what are my four P's for this
[5:29 - 5:33]  segment? And what are my four P's for that segment? And let me give you a specific example,
[5:33 - 5:40]  just in terms of the placement. So in an employer, uh, employee sponsored health plans. So you can go
[5:40 - 5:47]  direct for national accounts and jumbo employers, but in the mid market, they almost never talk to
[5:47 - 5:51]  vendors directly. You really need to go through their broker, their benefit consultant, or get baked
[5:51 - 5:58]  into their insurance carrier or their TPA. Okay. Likewise, that goes as well for how you promote to
[5:58 - 6:03]  these folks. It even goes to what the specific value proposition is. So just know that as you're going
[6:03 - 6:07]  through the four P's of marketing, you need to identify which segment you're talking about,
[6:07 - 6:13]  and then customize the four P's for that segment in order to be successful. And that's my point for
[6:13 - 6:15]  today. Thank you for watching a healthcare Z.
