Title: Healthcare Stocks and IPOs:  Investing in Change??
[8:09 - 8:15]  contracting to get any higher reimbursement from the carrier. So it's just the same misaligned fee for
[8:15 - 8:21]  service. And it's just the same model where in order for Privia to make more money, they just have
[8:21 - 8:27]  to increase overall healthcare costs. So my point overall is, is that this is not unique to Privia.
[8:28 - 8:32]  This is true for others as well. If you listen to the big major insurance carriers conference calls
[8:32 - 8:39]  or to the other big healthcare company conference calls, they're like baffling. Okay. Even to me,
[8:39 - 8:45]  I'm like, what are you really talking about here? And what they're talking about on these calls is
[8:45 - 8:51]  not what their business actually is. It's not what the underlying economics of the business actually
[8:51 - 8:56]  is. And so this, this is just to say, look, if you're going to do healthcare investing, listen,
[8:56 - 9:02]  I'm all for healthcare investing. I'm all for allocating capital to lower healthcare costs.
[9:02 - 9:06]  If you want to invest and allocate capital, lower healthcare costs and increase quality,
[9:06 - 9:12]  that's great. That's not what a lot of healthcare investing is. And that's my point for today.
[9:12 - 9:13]  Thank you for watching a healthcare seat.
