Title: Doctor Specialty Rankings:  The R.O.A.D. to Happiness?
[0:04 - 0:10]  Today's topic is the road to happiness. Now I'm about to tell you a secret that
[0:10 - 0:15]  is known amongst physicians that the general public is generally not aware of
[0:15 - 0:20]  and frankly after I tell you this I might be like ostracized from the
[0:20 - 0:25]  doctor community. My friends from medical school watch these videos and they might
[0:25 - 0:29]  never talk to me again but I'm willing to take that risk because you need to
[0:29 - 0:34]  the road of the truth and that truth revolves around how doctor specialties
[0:34 - 0:40]  have a competitive hierarchy. That's right, there is a pecking order among the
[0:40 - 0:45]  different physician specialties and I say the road to happiness because this is
[0:45 - 0:50]  sort of a joke that is in medical school as being the specialties that will lead
[0:50 - 0:57]  to the greatest happiness with the road being radiology, ophthalmology, anesthesia
[0:57 - 1:01]  and dermatology. Now why does that lead to happiness? It's because that these
[1:01 - 1:06]  specialties receive the highest pay, the highest reimbursement for a comparatively
[1:06 - 1:09]  good lifestyle and by good lifestyle I mean like you don't have to work a ton of
[1:09 - 1:12]  hours, you don't have to work weekends, you don't have to work nights, you don't
[1:12 - 1:16]  have to work holidays, you don't have to do a whole bunch of emergencies and so here
[1:16 - 1:23]  the really the to a certain extent like the smartest like most capable medical students,
[1:23 - 1:29]  they went into these specialties. Okay, the next tier down are the surgical specialties
[1:29 - 1:33]  and procedural subspecialties. By that I mean like general surgery, vascular surgery and all
[1:33 - 1:38]  different surgical subspecialties and also proceduralists like cardiologists and gastroenterologists
[1:38 - 1:45]  and also other sort of procedure based specialties like ENT and urology as well. Now they make a ton of money,
[1:45 - 1:49]  in fact they might even make more than the road to happiness folks but they got to put in a ton of
[1:49 - 1:54]  hours, they got to work weekends, they got to work nights, they got to work holidays and so and the
[1:54 - 1:58]  reason that they get paid a lot is because when you do procedures you end up getting paid more and
[1:58 - 2:04]  so that's another topic for another day but that then brings us to tier three. So tier three are still
[2:04 - 2:07]  specialists but they don't make as much money because they don't do as many procedures and so that
[2:07 - 2:13]  would be folks like pathologists and ER doctors, pulmonary and critical care doctors in the ICU,
[2:13 - 2:20]  nephrologists at the dialysis centers, neurologists, these folks are super smart and either because
[2:20 - 2:24]  they have a particular interest in this area or they just don't care as much about money then
[2:24 - 2:29]  they're tier three physicians. Now the bottom tier, the bottom of the barrel so to speak, I say that
[2:29 - 2:36]  facetiously, is primary care and psychiatry and that includes general internal medicine. I mean I'm an
[2:36 - 2:42]  internist right, pediatrics, family practice and mental health professionals like psychiatrists. Now
[2:42 - 2:49]  note that on A Healthcare Z videos and many other places you've heard that sort of the backbone of
[2:49 - 2:55]  high quality cost effective care is primary care. Notice that within the physician's community,
[2:55 - 3:01]  they're at the bottom. Okay, so in terms of like the priority of society or an employer,
[3:01 - 3:05]  in terms of like population health management, just know that within the physician community, it's
[3:05 - 3:11]  kind of like meh. And really where the schism is, is between the primary care physicians and the top
[3:11 - 3:17]  three tiers. And why is that? It's because competition among physicians is really based here. It's based in
[3:17 - 3:22]  the intellectual capability or the smartness, if you will, of each person. And guess what? A lot of these
[3:22 - 3:28]  specialties, frankly from an intellectual capability, they look down upon primary care physicians as their
[3:28 - 3:34]  intellectual inferiors. They just don't know as much. Now, those primary care physicians,
[3:34 - 3:39]  unfortunately, they have a fair amount of resentment because they don't make as much money.
[3:39 - 3:43]  Because they don't do procedures, they talk to people. And talking to people takes time. So you
[3:43 - 3:49]  can't crank through 25, 30, 40, 50 patients a day when you actually have to take the time to talk to them.
[3:50 - 3:56]  Okay? And so that is like very well played out in the physician parking lot. Where the hospital that I
[3:56 - 4:01]  used to work, the neurosurgeon drove a Bentley, one of the general surgeons drove a white convertible
[4:01 - 4:07]  BMW, and then one of my fellow internists, she drove a Toyota minivan, and then another internist
[4:07 - 4:13]  drove like a Mini Cooper. And so now, of course, there are exceptions to this. There are many of
[4:13 - 4:16]  these physicians that don't look down on primary care physicians. And there's many primary care
[4:16 - 4:19]  physicians that are like, look, I don't really resent the fact that you make more money. But I'm saying,
[4:19 - 4:27]  in general, this is probably true. Now, why is this important? It's important because doctors are
[4:27 - 4:30]  not a monolith. So oftentimes, when we hear about changes that need to happen within the healthcare
[4:30 - 4:35]  system, we kind of lump all doctors together. And that's just not the case in terms of their priorities
[4:35 - 4:40]  and their motivations and their interests. They're a highly diverse group. And that not only holds true
[4:40 - 4:44]  for physicians, that also holds true for insurance brokers and benefits consultants, for insurance
[4:44 - 4:50]  carrier reps, for pharmaceutical representatives, for hospital administrators. And so when we're
[4:50 - 4:54]  looking to make change within the healthcare system, it's important for us to understand that
[4:54 - 5:01]  all of these constituencies or groups are not monoliths, and to appreciate the diversity of opinions
[5:01 - 5:09]  within each of those groups, so that we can all work together with those folks that are motivated
[5:09 - 5:14]  to improve healthcare. And that's my point for today. Thank you for watching A Healthcare Z.
[5:14 - 5:16]  Thank you.
