Title: Haven Healthcare Did Not Fail... It Quit.  Learn Why That's Not So Bad
[1:29 - 1:40]  it seems to be kind of unclear as to why Haven quit or stopped or whatever you want to call it. But I will say frankly, it's good that they quit.
[1:40 - 1:52]  And I'll tell you why. And I made a previous video about Haven many months ago evaluating their conflicts of interest because they had some real big ones.
[1:52 - 2:05]  Okay. So Berkshire Hathaway is the largest shareholder of DaVita Dialysis. One of the largest, there's basically two companies that run the majority of dialysis in America.
[2:05 - 2:17]  And it's DaVita and Fresenius. Fresenius is actually a German company. And DaVita, and I'll leave a link to my other video in the show notes, DaVita charges employers like $4,000 a dialysis session.
[2:18 - 2:25]  And a person needs, with end-stage renal disease, kidney failure, needs three dialysis sessions a week. They're getting $12,000 a week.
[2:25 - 2:39]  Guess how much Medicare reimburses for a dialysis session? $250. And DaVita even does things to intentionally keep people on their expensive commercial insurance as opposed to going on Medicare.
[2:39 - 2:45]  Now these people that have end-stage renal disease on dialysis, they actually are considered permanently disabled.
[2:45 - 2:54]  And they can actually qualify for Medicare before the age of 65. So there's already a mechanism in place for employers to get dialysis patients off their health plan.
[2:54 - 3:08]  Because it is so expensive for dialysis for employers that if Haven was going to lower health care costs, frankly, a great way to lower health care costs is to lower dialysis costs.
[3:08 - 3:14]  Which would be in direct conflict with Berkshire Hathaway's large holding in DaVita.
[3:15 - 3:19]  So DaVita wants nothing to do with Haven lowering health care costs, right?
[3:20 - 3:22]  So there's a huge conflict of interest there, right?
[3:22 - 3:28]  DaVita wants to raise health care costs. DaVita wants to make health care costs as high as humanly possible, okay?
[3:29 - 3:35]  And then the issue, too, was that Chase, in terms of its investment banking and its services, look, it had a lot of fit.
[3:35 - 3:43]  It probably was lending money and involved in an investment banking, all sorts of things, with a bunch of other companies that were trying to raise health care costs as well.
[3:43 - 3:49]  Whether it be these private equity firms that buy air helicopter companies, what have you, right?
[3:49 - 4:00]  So the last thing that health care in America needs is a large corporate entity that has conflicts of interest.
[4:00 - 4:02]  We've got enough of those already.
[4:02 - 4:03]  We don't need any more.
[4:04 - 4:08]  So the fact that we don't have Haven anymore with this conflict of interest, frankly, is a good thing.
[4:08 - 4:14]  Okay, listen, and also, you know, the reporting also pointed this out as well.
[4:14 - 4:17]  Where, look, joint ventures in general don't work.
[4:17 - 4:22]  And we've seen this before, the sort of, quote, white knights coming into health care to, quote, unquote, save health care.
[4:22 - 4:24]  Like, they don't work either.
[4:24 - 4:31]  The classic case of that was this thing called Revolution Health that was started by Steve Case, who's a billionaire that founded AOL.
[4:31 - 4:37]  And after he sold AOL to Time Warner, or Merger, or whatever, and he left there, then he's like, I'm going to fix health care.
[4:38 - 4:38]  And he started Revolution Health.
[4:39 - 4:39]  And guess what?
[4:39 - 4:40]  It didn't work.
[4:40 - 4:43]  Okay, so these white knights, they just, they tend to not work.
[4:43 - 4:43]  Okay?
[4:44 - 4:45]  Now, how does it work?
[4:45 - 4:47]  I'm not trying to be negative here.
[4:47 - 4:48]  How does it work?
[4:48 - 5:00]  Well, let's look at other ways where industries were, you know, potentially being, you know, detrimental to society in terms of maybe costing society and not providing a lot of value.
[5:01 - 5:05]  And so, and I'm not saying that about all of health care, right, but there are elements of health care that are like that.
[5:05 - 5:12]  It's kind of like Big Tobacco or what was happening with Purdue Pharma and prescription narcotic pain medications, right?
[5:12 - 5:17]  So how did Big Tobacco get brought into check?
[5:17 - 5:19]  I mean, smoking rates are much lower now than they used to be.
[5:19 - 5:22]  How did Purdue get brought into check?
[5:23 - 5:26]  It's not totally done, but it's certainly much better than it was before.
[5:26 - 5:26]  Okay?
[5:27 - 5:28]  Well, it was lawsuits.
[5:28 - 5:32]  It was major lawsuits by the states, by individuals.
[5:32 - 5:34]  I mean, it was a whole barrage of lawsuits.
[5:35 - 5:37]  It was, frankly, it was regulatory changes, right?
[5:37 - 5:40]  It used to be able to advertise tobacco to kids.
[5:40 - 5:42]  They say, oh, you can't advertise tobacco to kids.
[5:42 - 5:45]  They put all these regulations around it, okay?
[5:45 - 5:47]  And it was also just public awareness, right?
[5:47 - 5:49]  It was like, hey, smoking causes cancer.
[5:49 - 5:50]  Emphysema, it kills you.
[5:50 - 5:54]  Parents were like, I don't want you kids smoking anymore.
[5:54 - 5:59]  There was public outcry against Purdue and narcotic pain medication.
[6:00 - 6:04]  There was much more action by the FBI and the Department of Justice against these pill mills.
[6:04 - 6:04]  Okay?
[6:05 - 6:07]  So the point is that it's a multi-pronged approach.
[6:07 - 6:10]  And that's really the solution in healthcare as well.
[6:10 - 6:15]  I mean, healthcare is not going to be unique in terms of its social change vis-a-vis these other areas.
[6:15 - 6:20]  It's probably going to require a sustained effort over multiple decades across multiple fronts,
[6:21 - 6:23]  as opposed to one discrete organization.
[6:24 - 6:27]  Whether it be for-profit or not-for-profit, that doesn't really matter.
[6:27 - 6:30]  The point is, is that nobody's going to come in as a white knight.
[6:30 - 6:37]  It's got to be this multi-pronged, multi-decade approach, just like we've seen with other social movements as well.
[6:37 - 6:39]  And that's my point for today.
[6:39 - 6:41]  Thank you for watching A Healthcare Z.
